"trip_date","trip_month","total_trips","avg_distance","avg_duration","avg_fare","total_revenue","avg_tip"
"2026-01-01",1,106978,3.95,15.37,23.99,3455202.03,2.31
"2026-01-02",1,93407,3.87,16.53,21.31,2826421.88,2.84
"2026-01-03",1,104513,3.80,15.99,20.94,3054476.14,2.69
"2026-01-04",1,89919,4.30,15.84,22.03,2749164.45,2.78
"2026-01-05",1,91539,4.11,17.55,21.69,2812316.89,2.98
"2026-01-06",1,101716,3.68,17.08,20.37,2968490.30,2.85
"2026-01-07",1,106603,3.52,17.14,20.07,3080070.51,2.85
"2026-01-08",1,112786,3.52,17.80,20.41,3309927.43,2.93
"2026-01-09",1,116296,3.53,17.38,20.08,3361293.53,2.81
"2026-01-10",1,140716,3.27,16.09,19.67,3875813.65,2.36
"2026-01-11",1,111882,3.81,15.14,20.27,3195914.64,2.59
"2026-01-12",1,106155,3.60,16.91,20.29,3106532.37,2.90
"2026-01-13",1,116007,3.40,17.15,20.20,3385883.12,2.91
"2026-01-14",1,122277,3.40,16.81,20.09,3559570.81,2.92
"2026-01-15",1,132609,3.36,17.21,20.01,3838627.70,2.88
"2026-01-16",1,125576,3.47,17.35,20.25,3643756.14,2.74
"2026-01-17",1,124003,3.34,15.20,19.08,3325875.81,2.25
"2026-01-18",1,115392,3.56,14.30,19.66,3161563.55,2.16
"2026-01-19",1,93489,3.93,15.24,21.12,2838258.80,2.97
"2026-01-20",1,122102,3.40,17.46,20.55,3594952.67,2.83
"2026-01-21",1,122149,3.28,17.21,19.96,3509567.03,2.78
"2026-01-22",1,127989,3.30,17.68,20.08,3702586.58,2.83
"2026-01-23",1,134223,3.24,17.11,19.66,3787147.22,2.61
"2026-01-24",1,140819,3.18,15.12,19.02,3743725.67,2.10
"2026-01-25",1,43535,3.04,14.04,22.30,1277582.52,1.47
"2026-01-26",1,62959,3.63,14.41,21.75,1923199.02,2.55
"2026-01-27",1,112958,3.45,21.05,25.90,3962446.24,2.97
"2026-01-28",1,122731,3.36,21.57,24.80,4158461.29,2.95
"2026-01-29",1,133913,3.30,21.43,24.77,4523826.19,2.89
"2026-01-30",1,140757,3.22,20.11,23.56,4534110.44,2.62
"2026-01-31",1,140189,3.18,16.53,21.10,4035523.60,2.14
"2026-02-01",2,118956,3.66,15.55,21.80,3551116.47,2.35
"2026-02-02",2,105858,3.54,19.56,22.88,3381754.52,2.96
"2026-02-03",2,117248,3.32,20.44,22.83,3730558.34,2.93
"2026-02-04",2,122774,3.31,20.24,22.43,3856610.08,2.94
"2026-02-05",2,127511,3.37,20.35,22.63,4046988.22,2.98
"2026-02-06",2,126250,3.39,19.10,21.45,3803083.93,2.69
"2026-02-07",2,149973,3.14,15.96,21.15,4292909.00,1.93
"2026-02-08",2,126262,3.78,15.30,22.69,3849063.99,2.08
"2026-02-09",2,105112,3.77,18.87,22.86,3354096.73,2.89
"2026-02-10",2,111913,3.30,18.93,21.50,3415133.63,2.95
"2026-02-11",2,121995,3.25,19.16,21.47,3721911.41,2.97
"2026-02-12",2,134462,3.34,19.18,22.14,4208268.87,2.97
"2026-02-13",2,131476,3.46,19.79,22.58,4144902.57,2.79
"2026-02-14",2,129451,3.35,17.86,22.24,3904537.69,2.33
"2026-02-15",2,110255,3.67,16.01,21.95,3309091.40,2.36
"2026-02-16",2,80945,4.06,15.21,21.82,2540717.97,3.19
"2026-02-17",2,100347,3.85,18.31,21.91,3141738.96,3.12
"2026-02-18",2,113738,3.38,17.57,20.90,3398720.19,2.90
"2026-02-19",2,118388,3.42,17.48,20.39,3478715.09,2.99
"2026-02-20",2,120718,3.32,17.31,20.10,3482731.02,2.80
"2026-02-21",2,132281,3.34,15.84,20.72,3804394.34,2.48
"2026-02-22",2,83049,3.54,14.01,21.15,2405116.04,2.22
"2026-02-23",2,22838,3.03,13.12,20.91,640390.74,1.26
"2026-02-24",2,96141,3.17,15.59,20.45,2812855.23,2.73
