"borough","zone","total_trips","avg_distance","avg_fare","total_revenue"
"Manhattan","Upper East Side South",825154,1.81,14.03,18181459.70
"Manhattan","Upper East Side North",750800,2.02,14.81,16999257.19
"Manhattan","Midtown Center",739416,2.31,18.14,20332749.28
"Queens","JFK Airport",690507,15.08,61.77,55243422.99
"Manhattan","Midtown East",545222,2.27,17.04,14306108.83
"Manhattan","Penn Station/Madison Sq West",539956,2.33,17.75,14417739.58
"Manhattan","Lincoln Square East",529944,2.23,15.61,12617734.94
"Manhattan","Times Sq/Theatre District",514511,2.91,20.55,15604786.91
"Manhattan","East Village",483530,2.55,18.09,12556278.15
"Manhattan","Upper West Side South",471632,2.28,15.87,11199950.00
"Manhattan","Union Sq",464638,2.16,16.86,11833695.51
"Manhattan","Murray Hill",460552,2.39,17.31,11997430.23
"Queens","LaGuardia Airport",447040,9.60,45.09,31605257.11
"Manhattan","East Chelsea",443621,2.60,19.13,12468904.49
"Manhattan","Midtown North",441357,2.35,17.37,11714942.88
"Manhattan","Lenox Hill West",408342,2.12,15.00,9244231.84
"Manhattan","Clinton East",402643,2.63,17.70,10554999.06
"Manhattan","West Village",398259,2.31,17.68,10337295.35
"Manhattan","Lenox Hill East",363245,2.66,17.30,9142007.38
"Manhattan","Upper West Side North",348469,2.45,16.28,8259277.99
"Manhattan","Midtown South",347222,2.43,17.98,9331986.23
"Manhattan","Yorkville West",346710,2.46,15.85,8111301.07
"Manhattan","Gramercy",339760,2.35,16.87,8544347.78
"Manhattan","West Chelsea/Hudson Yards",319924,2.52,19.15,8914772.75
"Manhattan","Sutton Place/Turtle Bay North",286598,2.21,16.22,7044554.58
"Manhattan","Flatiron",271295,2.24,16.72,6802878.81
"Manhattan","Greenwich Village South",263444,2.38,17.98,6916645.85
"Manhattan","Yorkville East",263369,2.67,17.12,6532347.11
"Manhattan","Greenwich Village North",252613,2.19,17.09,6434263.58
"Manhattan","TriBeCa/Civic Center",242703,3.32,21.47,7316662.33
"Manhattan","Lower East Side",237158,3.13,21.22,6917878.23
"Manhattan","Garment District",226840,2.51,18.22,6144526.44
"Manhattan","Central Park",221367,2.16,15.94,5358516.00
"Manhattan","Kips Bay",220035,2.76,17.62,5580061.42
"Manhattan","Lincoln Square West",213380,2.41,17.06,5247849.29
"Manhattan","Little Italy/NoLiTa",194352,2.61,19.68,5413150.14
"Manhattan","UN/Turtle Bay South",185592,2.66,18.25,4997025.72
"Manhattan","Meatpacking/West Village West",172806,2.63,20.02,4933038.82
"Manhattan","Manhattan Valley",149611,2.73,17.34,3562234.36
"Manhattan","East Harlem South",148970,3.41,19.90,3848889.28
"Manhattan","SoHo",141964,2.53,19.63,3984816.31
"Manhattan","Morningside Heights",119105,3.53,21.50,3308158.70
"Manhattan","Clinton West",118536,2.86,19.24,3184165.06
"Manhattan","Financial District North",117974,4.36,25.34,3995482.19
"Manhattan","Battery Park City",106521,4.35,25.38,3752195.49
"Manhattan","Central Harlem",88799,3.84,22.23,2411795.08
"Manhattan","Hudson Sq",85147,2.78,19.60,2408654.85
"Manhattan","Alphabet City",76698,3.22,20.77,2111176.60
"Manhattan","East Harlem North",76525,4.22,22.86,2124055.46
"Manhattan","World Trade Center",74898,4.30,25.58,2624890.73
"Manhattan","Central Harlem North",66455,5.04,26.04,2008828.91
"Manhattan","Financial District South",61644,4.75,26.97,2212656.06
"Manhattan","Bloomingdale",56932,3.12,19.15,1449405.49
"Manhattan","Two Bridges/Seward Park",56662,4.03,24.34,1758881.65
"Manhattan","Stuy Town/Peter Cooper Village",45322,2.91,19.91,1225259.58
"Manhattan","Washington Heights South",45280,6.13,29.11,1556371.76
"Brooklyn","Williamsburg (North Side)",43483,4.49,29.82,1563920.02
"Manhattan","Chinatown",41432,3.91,23.90,1308091.17
"Manhattan","Hamilton Heights",40437,5.26,26.93,1296677.69
"Queens","Astoria",39717,5.22,27.78,1335928.65
"Queens","East Elmhurst",37770,9.22,43.84,2517379.00
"Queens","Long Island City/Hunters Point",36020,5.17,31.93,1424149.18
"Manhattan","Seaport",35813,4.36,24.85,1184669.79
"Brooklyn","Crown Heights North",34399,5.67,31.11,1194267.48
"Queens","Sunnyside",31916,5.33,34.24,1323082.44
"Brooklyn","Bushwick South",31215,5.44,31.85,1155409.81
"Brooklyn","Williamsburg (South Side)",30753,4.61,30.44,1112749.27
"Brooklyn","Greenpoint",28067,4.60,28.79,999305.30
"Brooklyn","East New York",27237,6.94,30.84,918321.16
"Brooklyn","Fort Greene",26632,5.28,30.33,938973.04
"Brooklyn","East Williamsburg",25929,5.10,30.94,954233.55
"Manhattan","Manhattanville",25484,4.53,24.61,755157.36
"Brooklyn","Brooklyn Heights",23230,5.56,32.16,885647.60
"Brooklyn","Stuyvesant Heights",22863,5.67,32.35,834135.52
"Brooklyn","Downtown Brooklyn/MetroTech",21674,5.47,30.92,796313.16
"Brooklyn","Boerum Hill",21346,5.47,30.80,764544.39
"Brooklyn","Park Slope",20854,5.60,31.96,778070.20
"Brooklyn","Prospect-Lefferts Gardens",20829,5.82,30.82,710375.25
"Brooklyn","DUMBO/Vinegar Hill",20812,5.07,30.92,773451.71
"Unknown","N/A",20186,4.19,23.01,679027.78
"Queens","Jackson Heights",19931,5.00,32.99,797672.56
"Manhattan","Washington Heights North",19778,7.02,31.78,733779.73
"Brooklyn","Bedford",19412,5.30,30.45,672212.17
"Brooklyn","Flatbush/Ditmas Park",19365,6.68,32.27,703523.18
"Brooklyn","Clinton Hill",18246,5.47,31.34,657013.31
"Brooklyn","Bushwick North",18126,5.29,31.22,662345.59
"Queens","Long Island City/Queens Plaza",17986,4.30,26.10,576592.87
"Brooklyn","Canarsie",17402,6.78,31.91,600918.26
"Queens","Jamaica",16885,7.45,32.95,637876.76
"Brooklyn","Brownsville",15179,6.36,29.66,488365.31
"Queens","Old Astoria",14957,5.56,29.53,535327.84
"Queens","South Ozone Park",14303,5.52,51.28,854798.42
"Brooklyn","Ocean Hill",13457,6.35,32.19,475536.13
"Queens","Steinway",13382,5.84,34.24,574261.90
"Brooklyn","East Flatbush/Remsen Village",13162,5.72,29.35,421119.52
"Bronx","Mott Haven/Port Morris",13128,6.02,29.20,439273.17
"Brooklyn","Flatlands",12264,6.58,30.77,406892.28
"Queens","Elmhurst",11719,5.30,28.08,383062.33
"Brooklyn","East Flatbush/Farragut",11642,6.07,30.55,386610.56
